fecha,producto,cantidad,precio_unitario,region
2023-02-21,Laptop,4,423,Norte
2023-01-15,Laptop,2,171,Norte
2023-03-13,Laptop,3,73,Norte
2023-03-02,Teclado,1,139,Norte
2023-01-21,Monitor,4,692,Norte
2023-03-24,Monitor,1,939,Norte
2023-03-28,Laptop,1,647,Norte
2023-03-16,Monitor,3,606,Norte
2023-03-16,Monitor,2,644,Norte
2023-03-29,Laptop,2,987,Norte
2023-01-24,Monitor,1,439,Norte
2023-01-03,Webcam,4,441,Norte
2023-01-22,Mouse,2,123,Norte
2023-02-22,Mouse,4,871,Norte
2023-01-02,Laptop,2,273,Norte
2023-03-29,Teclado,4,246,Norte
2023-01-30,Laptop,3,131,Norte
2023-02-07,Teclado,4,529,Norte
2023-01-02,Mouse,3,492,Norte
2023-03-05,Laptop,3,118,Norte
2023-03-01,Webcam,4,172,Norte
2023-01-21,Monitor,3,880,Norte
2023-02-02,Teclado,1,933,Norte
2023-03-17,Monitor,3,915,Norte
2023-02-27,Monitor,2,897,Norte
2023-01-22,Laptop,4,357,Norte
2023-03-30,Monitor,1,725,Norte
2023-02-18,Webcam,4,841,Norte
2023-02-28,Monitor,2,182,Norte
2023-02-11,Laptop,2,739,Norte
2023-03-01,Webcam,2,976,Norte
2023-03-21,Mouse,3,700,Norte
2023-01-15,Monitor,3,180,Norte
2023-03-03,Laptop,4,599,Norte
2023-03-03,Mouse,4,820,Norte
2023-02-16,Mouse,1,417,Norte
2023-03-03,Teclado,1,296,Norte
2023-02-20,Webcam,4,835,Norte
2023-02-24,Monitor,3,935,Norte
2023-03-05,Laptop,2,523,Norte
2023-01-03,Teclado,4,915,Norte
2023-02-20,Webcam,1,411,Norte
2023-01-07,Teclado,3,154,Norte
2023-01-21,Webcam,4,214,Norte
2023-03-14,Webcam,4,420,Norte
2023-02-08,Monitor,3,659,Norte
2023-01-18,Webcam,4,52,Norte
2023-01-04,Teclado,3,707,Norte
2023-03-30,Webcam,2,479,Norte
2023-03-01,Monitor,3,974,Norte
2023-01-14,Monitor,3,902,Norte
2023-01-09,Teclado,3,489,Norte
2023-03-31,Mouse,4,394,Norte
2023-02-22,Mouse,4,41,Norte
2023-01-02,Webcam,3,769,Norte
2023-03-25,Laptop,4,689,Norte
2023-03-01,Webcam,1,57,Norte
2023-03-12,Teclado,1,249,Norte
2023-02-13,Teclado,4,384,Norte
2023-01-08,Teclado,4,582,Norte
2023-02-16,Teclado,3,457,Norte
2023-02-04,Teclado,2,795,Norte
2023-03-19,Monitor,4,302,Norte
2023-03-22,Mouse,1,46,Norte
2023-02-05,Teclado,3,245,Norte
2023-02-19,Laptop,4,296,Norte
2023-01-04,Laptop,1,817,Norte
2023-01-02,Laptop,1,628,Norte
2023-01-06,Laptop,2,303,Norte
2023-02-23,Monitor,3,898,Norte
2023-01-04,Laptop,3,979,Norte
2023-02-23,Teclado,2,500,Norte
2023-03-04,Webcam,2,472,Norte
2023-01-18,Laptop,3,848,Norte
2023-03-31,Monitor,3,835,Norte
2023-02-13,Monitor,4,678,Norte
2023-02-03,Laptop,4,535,Norte
2023-03-15,Webcam,2,566,Norte
2023-03-03,Laptop,4,211,Norte
2023-01-14,Monitor,1,68,Norte
2023-02-17,Mouse,4,531,Norte
2023-01-15,Teclado,4,36,Norte
2023-03-13,Monitor,1,191,Norte
2023-03-19,Laptop,2,239,Norte
2023-03-28,Teclado,1,177,Norte
2023-03-03,Laptop,4,496,Norte
2023-02-09,Laptop,2,65,Norte
2023-03-26,Mouse,4,392,Norte
2023-03-21,Teclado,1,537,Norte
2023-03-23,Teclado,1,118,Norte
2023-02-22,Mouse,4,911,Norte
2023-01-24,Monitor,3,764,Norte
2023-01-26,Laptop,3,56,Norte
2023-03-30,Webcam,1,299,Norte
2023-03-01,Laptop,1,368,Norte
2023-02-10,Laptop,3,516,Norte
2023-01-29,Monitor,3,321,Norte
2023-01-15,Laptop,4,200,Norte
2023-02-14,Mouse,4,626,Norte
2023-03-06,Mouse,3,118,Norte
2023-03-01 00:00:00,Monitor,6,624,Sur
2023-03-04 00:00:00,Laptop,7,941,Sur
2023-03-26 00:00:00,Mouse,3,989,Sur
2023-02-01 00:00:00,Webcam,3,621,Sur
2023-03-28 00:00:00,Mouse,5,437,Sur
2023-02-02 00:00:00,Mouse,6,134,Sur
2023-03-08 00:00:00,Laptop,9,636,Sur
2023-01-18 00:00:00,Teclado,5,922,Sur
2023-01-25 00:00:00,Mouse,1,215,Sur
