id_transaccion,fecha,region,producto,cantidad,total_venta,ciudad
N-1000,2023-05-10 03:00:00,Norte,Laptop Gamer,1,970.0,
N-1001,2023-06-18 09:00:00,Norte,Mouse Ergonómico,4,3708.0,
N-1002,2023-03-10 05:00:00,Norte,Monitor 4K,2,2820.0,
N-1003,2023-05-10 03:00:00,Norte,Webcam HD,2,2538.0,
N-1004,2023-02-25 17:00:00,Norte,Webcam HD,2,908.0,
N-1005,2023-06-26 06:00:00,Norte,Docking Station,3,810.0,
N-1006,2023-04-18 20:00:00,Norte,Teclado Mecánico,4,2184.0,
N-1007,2023-05-11 00:00:00,Norte,Teclado Mecánico,2,2600.0,
N-1008,2023-05-21 08:00:00,Norte,Webcam HD,1,835.0,
N-1009,2023-01-21 07:00:00,Norte,Webcam HD,4,2580.0,
N-1010,2023-03-21 15:00:00,Norte,Teclado Mecánico,1,1185.0,
N-1011,2023-01-28 05:00:00,Norte,Docking Station,2,640.0,
N-1012,2023-03-04 17:00:00,Norte,Webcam HD,2,1484.0,
N-1013,2023-03-15 00:00:00,Norte,Mouse Ergonómico,1,1029.0,
N-1014,2023-01-22 15:00:00,Norte,Laptop Gamer,4,2536.0,
N-1015,2023-06-19 03:00:00,Norte,Docking Station,1,1005.0,
N-1016,2023-01-20 22:00:00,Norte,Teclado Mecánico,4,3008.0,
N-1017,2023-06-04 18:00:00,Norte,Webcam HD,1,794.0,
N-1018,2023-01-06 12:00:00,Norte,Mouse Ergonómico,2,1782.0,
N-1019,2023-04-07 21:00:00,Norte,Webcam HD,1,748.0,
N-1020,2023-01-02 12:00:00,Norte,Laptop Gamer,2,582.0,
N-1021,2023-03-17 18:00:00,Norte,Monitor 4K,4,1112.0,
N-1022,2023-01-12 17:00:00,Norte,Laptop Gamer,4,876.0,
N-1023,2023-02-11 01:00:00,Norte,Webcam HD,1,509.0,
N-1024,2023-01-13 13:00:00,Norte,Laptop Gamer,1,1258.0,
N-1025,2023-03-30 08:00:00,Norte,Webcam HD,2,2048.0,
N-1026,2023-04-25 08:00:00,Norte,Teclado Mecánico,4,1484.0,
N-1027,2023-01-12 00:00:00,Norte,Teclado Mecánico,3,501.0,
N-1028,2023-06-01 11:00:00,Norte,Teclado Mecánico,3,417.0,
N-1029,2023-04-25 16:00:00,Norte,Teclado Mecánico,4,2020.0,
N-1030,2023-06-16 16:00:00,Norte,Monitor 4K,1,1242.0,
N-1031,2023-03-01 10:00:00,Norte,Webcam HD,4,484.0,
N-1032,2023-03-25 18:00:00,Norte,Webcam HD,4,3456.0,
N-1033,2023-03-02 08:00:00,Norte,Laptop Gamer,3,4488.0,
N-1034,2023-01-28 03:00:00,Norte,Mouse Ergonómico,4,796.0,
N-1035,2023-04-20 21:00:00,Norte,Mouse Ergonómico,1,560.0,
N-1036,2023-01-30 21:00:00,Norte,Teclado Mecánico,2,2498.0,
N-1037,2023-04-16 12:00:00,Norte,Laptop Gamer,4,3908.0,
N-1038,2023-06-11 13:00:00,Norte,Monitor 4K,1,352.0,
N-1039,2023-04-04 11:00:00,Norte,Teclado Mecánico,2,2610.0,
N-1040,2023-04-05 11:00:00,Norte,Webcam HD,1,313.0,
N-1041,2023-04-11 09:00:00,Norte,Teclado Mecánico,4,4948.0,
N-1042,2023-03-29 22:00:00,Norte,Webcam HD,4,2508.0,
N-1043,2023-03-01 05:00:00,Norte,Docking Station,4,4288.0,
N-1044,2023-01-24 10:00:00,Norte,Webcam HD,4,2992.0,
N-1045,2023-04-02 05:00:00,Norte,Mouse Ergonómico,4,3300.0,
N-1046,2023-06-10 03:00:00,Norte,Teclado Mecánico,1,795.0,
N-1047,2023-05-16 13:00:00,Norte,Monitor 4K,1,976.0,
N-1048,2023-03-11 13:00:00,Norte,Webcam HD,1,341.0,
N-1049,2023-06-17 16:00:00,Norte,Monitor 4K,1,965.0,
N-1050,2023-03-20 02:00:00,Norte,Laptop Gamer,1,659.0,
