Nombre,Provincia,Término_M,Duchas,Aseos,Acceso_dis,Bandera_az,Longitud,X,Y,Grado_ocup,Grado_urba
La Venus,Málaga,Marbella,Sí,Sí,Sí,No,650 metros,-543984.955699999,4370554.5289,Alto,Urbana
Las Cañas,Málaga,Marbella,Sí,Sí,No,No,1.100 metros,-529891.908100002,4367771.1701,Medio,Urbana
Calahonda,Málaga,Mijas,Sí,Sí,Sí,Sí,3.500 metros,-524448.385000002,4367937.3205,Medio / Alto,Urbana
El Charcón,Málaga,Mijas,Sí,No,No,No,800 metros,-517145.826400001,4370637.6254,Bajo,Semiurbana
L'Espigó,Alicante/Alacant,Altea,No,Sí,Sí,Sí,600 metros,-4975.98119999841,4664877.7545,Alto,Urbana
Canabal,Pontevedra,Cangas,Sí,No,Sí,No,350 metros,-975225.530999999,5200276.8452,Medio,Semiurbana
Urbasur,Huelva,Isla Cristina,Sí,Sí,Sí,No,1.100 metros,-806821.405400001,4467496.1731,Medio,Semiurbana
Santo Tomé,Pontevedra,Cambados,Sí,Sí,No,No,115 metros,-981492.818399999,5237608.2718,Medio,Urbana
Las Amoladeras,Almería,Almería,No,No,No,No,3.750 metros,-253619.195900001,4412878.6906,Bajo,Aislada
Las Olas,Almería,Almería,No,No,No,No,250 metros,-276940.6292,4415646.0126,Bajo,Semiurbana
Las Salinas de Cabo de Gata,Almería,Almería,No,No,No,No,2.500 metros,-248420.5757,4406526.3056,Medio,Aislada
Nueva Almería,Almería,Almería,Sí,Sí,Sí,Sí,1.500 metros,-271318.994899999,4413671.2671,Alto,Urbana
Retamar,Almería,Almería,Sí,Sí,Sí,No,1.250 metros,-257671.225299999,4415687.7365,Alto,Urbana
Zapillo,Almería,Almería,Sí,Sí,Sí,No,1.550 metros,-272688.224599998,4414825.4752,Alto,Urbana
San Miguel de Cabo de Gata,Almería,Almería,Sí,Sí,Sí,Sí,2.500 metros,-249956.784600001,4408513.6249,Alto,Urbana
San Telmo,Almería,Almería,No,No,No,No,100 metros,-277653.073899999,4415242.6897,Bajo,Aislada
Torregarcía,Almería,Almería,No,No,No,No,1.800 metros,-256034.8288,4414728.1275,Bajo,Aislada
Balanegra,Almería,Balanegra,Sí,Sí,Sí,Sí,2.600 metros,-323795.002900001,4403552.9673,Medio,Semiurbana
El Algarrobico,Almería,Carboneras,No,No,No,No,1.350 metros,-208924.420299999,4443805.1741,Bajo,Aislada
El Ancón,Almería,Carboneras,Sí,Sí,Sí,Sí,1.700 metros,-210293.6501,4439552.8352,Alto,Urbana
La Galera,Almería,Carboneras,No,No,No,No,800 metros,-209213.851,4442438.6627,Bajo,Aislada
Las Marinicas,Almería,Carboneras,Sí,Sí,Sí,Sí,1.330 metros,-211696.275600001,4437002.2508,Alto,Urbana
Las Doradas,Málaga,Mijas,Sí,Sí,Sí,No,800 metros,-519750.702500001,4370235.9985,Bajo,Semiurbana
